3.9955e+08,4.0041e+08,3.9955e+08,4.0298e+08,4.0555e+08,4.0126e+08,3.9955e+08,3.9611e+08,4.0126e+08,3.9611e+08,4.0298e+08,4.0212e+08,4.0212e+08,4.0298e+08,3.9955e+08,4.0384e+08,3.9611e+08,4.0727e+08,4.0212e+08,4.0384e+08,3.9439e+08,3.9611e+08,4.0384e+08,4.004e+08,3.9439e+08,4.0212e+08,4.0384e+08,3.9955e+08,4.0298e+08,4.0041e+08
4.378e+08,4.3628e+08,4.2586e+08,4.3435e+08,4.247e+08,4.3356e+08,4.2921e+08,4.3044e+08,4.3022e+08,4.3298e+08,4.2707e+08,4.3134e+08,4.3055e+08,4.3175e+08,4.2656e+08,4.2466e+08,4.3124e+08,4.2188e+08,4.3321e+08,4.2478e+08,4.2876e+08,4.4159e+08,4.3236e+08,4.3325e+08,4.3218e+08,4.2626e+08,4.2095e+08,4.2748e+08,4.2616e+08,4.3314e+08
4.3458e+08,4.389e+08,4.4976e+08,4.3544e+08,4.3119e+08,4.3377e+08,4.463e+08,4.4888e+08,4.4928e+08,3.4185e+08,4.4068e+08,4.4451e+08,4.4322e+08,4.3633e+08,3.5423e+08,4.4889e+08,4.5105e+08,4.3372e+08,4.3719e+08,4.4285e+08,4.5619e+08,4.372e+08,4.3459e+08,4.4151e+08,4.4156e+08,3.8685e+08,4.4632e+08,4.4284e+08,4.4332e+08,4.3377e+08
4.4573e+08,4.4482e+08,4.4744e+08,4.4703e+08,4.4702e+08,4.44e+08,3.4991e+08,4.4656e+08,4.4177e+08,4.4231e+08,4.5127e+08,4.5426e+08,4.4658e+08,3.4374e+08,4.5004e+08,4.388e+08,4.4957e+08,4.5647e+08,4.47e+08,4.4742e+08,4.4527e+08,4.5862e+08,4.5519e+08,2.2551e+08,4.4617e+08,4.3884e+08,4.4657e+08,4.5046e+08,8.3819e+07,4.5604e+08
4.5068e+08,4.5068e+08,4.5843e+08,4.3952e+08,4.5242e+08,4.4295e+08,4.4858e+08,4.4503e+08,4.5283e+08,4.4729e+08,4.5457e+08,4.4198e+08,4.4422e+08,4.5289e+08,4.4598e+08,4.4382e+08,4.4463e+08,4.3945e+08,1.9964e+08,4.4896e+08,4.4426e+08,4.3856e+08,4.4031e+08,4.3954e+08,4.5458e+08,4.5547e+08,4.5457e+08,4.623e+08,4.4048e+08,3.328e+08
4.4109e+08,4.475e+08,4.4101e+08,4.445e+08,4.471e+08,4.4278e+08,4.385e+08,4.4272e+08,4.4489e+08,4.454e+08,4.3754e+08,4.3668e+08,4.5096e+08,4.3932e+08,4.428e+08,4.4493e+08,4.5053e+08,3.7044e+08,4.3935e+08,4.4966e+08,4.5825e+08,4.6384e+08,4.484e+08,4.446e+08,4.4195e+08,4.4411e+08,4.4494e+08,4.4184e+08,4.5456e+08,4.4583e+08
4.4e+08,4.4991e+08,4.4345e+08,4.4598e+08,4.5595e+08,4.4175e+08,2.9691e+08,4.4474e+08,4.4603e+08,4.4651e+08,4.4262e+08,4.4135e+08,4.6195e+08,3.1008e+08,4.5514e+08,4.4822e+08,4.4816e+08,4.4438e+08,4.5218e+08,2.1689e+08,4.3998e+08,4.3475e+08,4.4823e+08,4.3671e+08,4.452e+08,4.4177e+08,4.6068e+08,4.4084e+08,4.4018e+08,4.4655e+08
4.4333e+08,4.4323e+08,4.5063e+08,1.3806e+08,4.4284e+08,4.3984e+08,4.1422e+08,4.4761e+08,4.5102e+08,4.3732e+08,4.4462e+08,4.5362e+08,4.3257e+08,4.4549e+08,4.4157e+08,1.8714e+08,4.3893e+08,1.7774e+08,4.4159e+08,4.3561e+08,4.5191e+08,4.3721e+08,4.4503e+08,3.3935e+08,3.9862e+08,4.4764e+08,4.4304e+08,1.7244e+08,3.3088e+08,4.4163e+08
4.44e+08,4.079e+08,4.3795e+08,2.0254e+08,1.7936e+08,4.414e+08,4.4582e+08,4.5256e+08,4.3961e+08,4.5305e+08,4.5172e+08,4.5042e+08,4.5088e+08,4.4322e+08,1.9297e+08,4.587e+08,4.4744e+08,4.3979e+08,4.4714e+08,4.5137e+08,4.3792e+08,4.6468e+08,4.4402e+08,4.45e+08,4.4701e+08,4.4317e+08,4.4046e+08,4.3931e+08,4.433e+08,4.4749e+08
4.4815e+08,4.4205e+08,4.4986e+08,4.4574e+08,4.4045e+08,2.0788e+08,4.5037e+08,4.3774e+08,4.4121e+08,4.4729e+08,4.4857e+08,4.5996e+08,4.3602e+08,4.4522e+08,4.4138e+08,4.4045e+08,4.4295e+08,4.56e+08,4.4046e+08,1.3031e+08,4.4858e+08,4.4032e+08,4.5716e+08,4.4653e+08,4.4944e+08,4.5331e+08,4.4034e+08,4.461e+08,4.4142e+08,4.5377e+08
