20000,20000,4891,20000,7067,3594,20000,4298,20000,20000,8849,12779,13489,4419,11142,20000,20000,20000,4222,20000,16589,7545,7637,7022,7170,20000,20000,20000,3552,20000
20000,1902,20000,20000,10736,7203,20000,20000,20000,15097,7016,1749,8181,8033,20000,19651,20000,11784,1358,17624,20000,7115,11415,2947,2093,20000,20000,20000,1310,20000
20000,20000,2402,20000,2052,5212,11110,20000,20000,20000,5752,16281,20000,15891,18554,20000,20000,20000,2201,20000,2508,13150,20000,5184,9953,7780,20000,15924,6088,3845
20000,6332,13615,20000,4426,15938,11526,20000,20000,4944,7370,20000,5825,1429,10743,20000,20000,9947,3895,3217,20000,11718,20000,4075,3578,14729,20000,4417,1758,20000
20000,10124,20000,8734,3187,2036,18385,4263,19468,18012,2315,14861,20000,20000,20000,6997,20000,4949,1382,20000,6539,3634,20000,8362,4800,16457,20000,1407,1849,7485
20000,20000,8354,20000,6222,13072,6711,1423,12432,16184,3803,9278,20000,3357,20000,4291,11398,10190,1250,20000,4044,17651,20000,5652,13289,20000,20000,3053,4991,20000
9845,20000,20000,4529,5823,2988,14633,675,20000,19220,14604,2195,20000,5412,8111,6400,20000,13877,2206,20000,20000,9830,17061,9614,20000,15021,17106,6018,4633,20000
12977,9389,5139,10394,5204,5238,2587,20000,20000,16065,6106,8193,7912,3432,10959,5488,20000,8598,5308,5234,3491,13848,20000,2439,7788,20000,16674,4959,1806,4725
15357,11140,13092,19744,3278,4086,3414,6157,20000,11168,20000,4977,4105,1219,10755,20000,20000,20000,2534,20000,3712,16324,20000,1529,16087,5501,20000,20000,3171,1877
3455,5261,8427,7088,5461,5956,3045,2474,20000,7417,20000,3608,6078,4911,13936,6741,18856,5962,5408,3033,2243,16545,20000,4806,3271,4559,20000,20000,3167,20000
10959,20000,2643,13273,5204,13648,16774,14353,20000,10461,2408,7588,20000,1495,5385,1828,20000,3577,4079,20000,20000,3513,20000,18207,20000,20000,20000,7921,2975,20000
5848,20000,8078,20000,5682,18676,20000,20000,20000,20000,6826,6504,3328,4816,17720,5790,20000,20000,1573,10769,8055,12760,20000,1568,16487,5619,20000,9701,1987,20000
20000,5046,5971,20000,8047,4910,18625,2832,20000,7283,20000,8209,20000,4761,9085,20000,20000,9416,2605,20000,9135,18138,20000,4951,20000,20000,20000,8134,1652,2056
20000,20000,20000,19533,3358,4379,9438,2084,20000,7189,1760,11309,11465,1945,20000,15336,20000,3045,2168,20000,20000,893,2897,1412,11898,20000,4884,7696,3723,20000
20000,17071,5771,15302,4612,2658,2229,3083,20000,8974,2251,9367,20000,6146,20000,15993,12093,2576,1571,1437,5097,3173,20000,12003,20000,10789,20000,4089,2017,1749
20000,20000,20000,19884,5476,20000,7536,6153,20000,4637,20000,3900,20000,4953,4258,7271,8326,20000,2350,20000,4693,2768,20000,3659,15248,3100,20000,6624,5970,20000
20000,16865,13588,20000,11388,4267,3330,20000,20000,13478,20000,16808,20000,5614,17356,10764,20000,9527,1682,7040,20000,4423,20000,11487,2346,20000,20000,8510,2380,20000
20000,20000,3831,20000,8910,2991,7186,20000,20000,4972,6217,16925,20000,3212,20000,17932,20000,20000,2898,1802,10289,12028,7390,17717,1955,7759,12645,20000,1250,20000
20000,20000,3435,20000,6787,20000,3114,8764,15993,5010,3489,5352,20000,2748,2427,20000,6735,2465,2124,20000,18454,7081,16493,9868,8207,3379,4924,13079,5193,20000
17094,20000,5484,7332,4437,2879,13541,11164,20000,18415,5064,8558,20000,14385,3077,5252,20000,2193,4466,10210,18083,13002,20000,5725,20000,20000,20000,10036,3576,20000
13529,16584,9547,8328,2741,3189,6785,2569,20000,13185,20000,2144,20000,6642,17044,8727,20000,15949,2145,1029,15393,5601,20000,6137,3014,18454,20000,5340,1876,4777
20000,14021,20000,4240,20000,16349,10511,9657,20000,12254,5701,12533,10106,8097,4796,20000,20000,7592,1868,20000,4913,8124,6652,5616,13957,6827,5873,18675,6185,17316
20000,9637,7555,16569,1426,8329,2407,20000,18764,18454,1581,3371,20000,2244,20000,20000,6279,3241,1323,3624,9043,20000,20000,5216,7199,20000,20000,2496,2519,20000
20000,20000,13046,7290,10875,2739,18315,8403,20000,4771,20000,5594,20000,7180,8836,18149,20000,18640,7876,20000,5613,20000,20000,16802,5606,13231,18106,20000,3358,20000
20000,14855,8534,20000,8948,2114,20000,5507,20000,20000,18662,1480,20000,10148,16135,3862,7405,2609,2619,20000,4456,13908,19110,9471,5369,3757,10099,3519,1317,20000
20000,8589,3655,20000,3735,8089,6106,4860,20000,5043,4982,11218,20000,15262,20000,20000,4697,4594,2130,4405,5385,4224,20000,5363,9911,8674,20000,5348,4532,20000
11066,3949,20000,8175,15439,6795,14069,20000,20000,13489,5533,11963,20000,20000,8419,20000,20000,20000,1837,6075,13782,12303,19245,3223,5330,14809,13004,20000,2805,3181
12754,20000,19689,20000,13354,14512,2362,14757,20000,20000,2678,4502,8424,5355,20000,12327,20000,8796,1110,1412,20000,3622,16262,2510,13010,20000,17729,2605,2688,20000
20000,3055,7309,20000,10481,10448,6639,20000,18859,11467,20000,3673,20000,20000,1509,7070,20000,2432,6518,1887,13271,11152,8880,13733,13500,4969,20000,10807,5669,20000
20000,20000,18385,9199,1278,4201,4591,15754,20000,20000,20000,3633,20000,10501,8668,20000,18637,7589,2195,20000,7744,18309,18893,20000,10772,8994,20000,5129,5702,20000
20000,19394,6423,20000,3059,6828,2796,3904,20000,9984,3705,13496,13314,20000,13293,20000,18587,13345,4375,4658,20000,20000,1643,3415,20000,20000,7658,14377,7445,14638
20000,4522,18131,9094,2621,2200,20000,11706,20000,17995,5555,20000,20000,15444,5538,7369,20000,20000,4923,20000,13321,6060,20000,9301,19946,20000,20000,20000,5484,20000
20000,13328,3373,17753,1842,16640,20000,20000,20000,9748,16978,13907,20000,11555,20000,14357,10854,4287,8438,20000,9940,4297,12882,2614,8182,9576,20000,13770,2564,6469
20000,16473,17486,20000,3326,4260,2713,20000,15703,13677,4633,5115,16595,14783,19344,19950,20000,11094,3759,20000,17225,7000,2189,9788,6626,18151,13569,19066,2024,20000
20000,4107,8256,20000,3982,4409,2455,2172,20000,13271,20000,12248,20000,3854,1756,17987,6168,2307,2758,18708,20000,14352,20000,9434,7492,12367,8775,8316,2202,20000
20000,13250,6141,5847,2859,11193,15100,20000,20000,20000,4513,4877,8534,8033,3645,13132,20000,6117,1716,20000,9011,7588,1793,10106,5616,20000,20000,20000,1326,20000
20000,14778,3122,20000,6448,9000,2069,8013,20000,13199,11038,14689,20000,20000,7908,11907,18938,7117,4506,20000,1999,4576,5833,20000,20000,6248,20000,3100,1827,20000
20000,6890,2127,9651,9921,20000,4681,2914,20000,5265,10665,6733,20000,5992,10192,10273,12781,6579,10825,20000,11604,20000,10345,18306,12551,10489,4382,8305,1932,20000
20000,20000,20000,9441,2782,5290,7966,20000,11469,13176,10228,20000,10898,4000,20000,4983,20000,11332,3949,20000,20000,15068,20000,4612,20000,5267,20000,20000,1430,6045
20000,15852,2082,20000,13249,7757,10200,7310,12370,18713,5193,10874,16904,3908,12271,20000,20000,14286,9154,1877,8912,1643,9895,9212,11550,20000,18814,6269,2230,20000
20000,17937,20000,20000,5506,5179,6569,2400,20000,18498,7147,8209,1178,11964,15369,6613,15273,6370,2865,20000,20000,17832,2353,8022,7907,10215,9844,5311,4829,9690
20000,20000,5922,6070,3260,9721,4612,3690,18459,4637,13034,20000,5424,18148,7926,14066,15922,17112,1575,20000,7823,9183,2853,20000,6389,8681,20000,10799,5175,20000
20000,1990,5666,20000,20000,9747,20000,6009,20000,9500,20000,6236,20000,3463,8357,5427,20000,20000,6819,6710,1949,6796,20000,19310,20000,20000,20000,15358,8199,2318
20000,20000,7829,17744,5015,8622,11578,18170,20000,20000,4082,3858,20000,5081,15457,20000,14366,3192,2282,20000,7761,20000,20000,2453,16590,20000,17023,8137,1417,20000
20000,10798,10220,19573,2532,20000,14927,20000,20000,5337,15168,20000,20000,2985,3323,6225,20000,14165,3401,20000,20000,15448,20000,2302,8132,20000,20000,4392,4116,20000
20000,9051,19255,10143,5327,3386,13350,20000,20000,9029,2583,6034,20000,4228,9511,20000,12449,20000,4877,20000,5068,14612,4298,2244,1305,9302,20000,11700,2850,20000
20000,20000,7655,6918,4612,2542,5304,4299,20000,13436,1467,2359,16406,6759,20000,16103,15804,14536,2708,7397,3699,17633,20000,16288,17116,20000,20000,5819,7231,20000
9444,7610,11557,20000,3825,3651,7763,20000,20000,4459,20000,15102,20000,3806,3062,4342,15305,20000,1246,3025,2444,20000,9102,19167,10057,13273,20000,3193,4033,20000
20000,20000,16015,5397,6253,7184,20000,4028,20000,14697,19352,20000,20000,20000,16409,20000,20000,6937,6281,20000,10466,4129,20000,3950,20000,7862,5233,1144,5474,20000
20000,12356,1742,20000,20000,2164,6315,10684,20000,20000,4843,4855,20000,8743,20000,10791,20000,16266,19740,3823,19341,17768,20000,6615,13561,6735,10174,13275,6678,20000
20000,19995,2567,10154,4117,11102,2668,12657,20000,20000,16410,5279,4472,4190,20000,20000,17752,4366,1979,20000,3251,19840,12914,2585,20000,20000,20000,20000,2892,15310
13326,20000,3074,1564,1168,4624,7152,1851,20000,12680,7541,12075,3236,10397,8372,20000,20000,3022,1400,4567,3728,20000,3686,20000,6403,10262,20000,4486,6354,1369
19348,13239,9685,20000,12725,4111,8711,1744,20000,13171,16851,6487,4754,3456,5817,20000,20000,9132,4484,20000,3761,7533,20000,11610,4670,20000,18108,12576,4128,20000
10009,9678,2180,20000,3662,10828,3681,9935,20000,12767,5024,8020,20000,13914,1686,5021,20000,20000,15231,9433,20000,12963,3382,8069,10076,7007,20000,5962,1110,20000
18239,20000,2538,5577,20000,5050,20000,20000,6397,6389,20000,13745,8290,4074,3345,20000,20000,5009,5982,2669,3517,3126,20000,20000,20000,20000,9794,4914,2517,20000
7468,7171,20000,20000,5314,4959,18968,5668,20000,20000,8178,3194,20000,8594,11403,9952,20000,7618,7860,20000,2791,3737,3193,9333,3801,20000,20000,1621,2988,20000
20000,20000,3916,20000,1554,20000,14042,7227,20000,20000,8967,9219,8795,20000,2319,19017,9970,20000,1232,13692,6736,2826,20000,3919,9768,9429,20000,6326,4828,20000
20000,14330,6246,20000,2724,7006,16044,2603,20000,20000,7976,6802,3591,8437,1497,2146,20000,8711,5956,20000,20000,10916,20000,4578,11724,4394,20000,3586,8032,12553
20000,12421,19766,18876,5300,20000,20000,20000,7397,12397,7295,4699,20000,18114,7404,20000,20000,3901,3196,20000,13492,15796,20000,8483,1888,18815,9207,6299,914,20000
6340,8311,2554,17920,1647,20000,5364,5653,20000,3362,6003,3166,20000,8126,9010,14809,13459,20000,2758,20000,7655,9590,20000,20000,3639,15609,20000,18423,6217,20000
20000,17442,3325,7039,9941,18651,7359,4341,20000,20000,20000,13318,20000,12898,9712,15220,20000,3946,4350,20000,10201,16176,20000,14277,3024,20000,9984,10582,3089,5999
